Offset	Sensor Name                                            Value
1673.5	Steering wheel angle                                   2.0°
1683.6	Steering wheel angle                                   2.0°
1686.2	Vehicle yaw rate                                       -1.23°/s
1686.2	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1686.2	Vehicle lateral acceleration (+ means left)            -0.16m/s²
1693.6	Steering wheel angle                                   2.0°
1703.4	Steering wheel angle                                   2.0°
1706.1	Vehicle yaw rate                                       -1.23°/s
1706.1	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1706.1	Vehicle lateral acceleration (+ means left)            -0.24m/s²
1713.4	Steering wheel angle                                   2.0°
1723.5	Steering wheel angle                                   2.0°
1726.0	Vehicle yaw rate                                       -1.23°/s
1726.0	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1726.0	Vehicle lateral acceleration (+ means left)            -0.24m/s²
1733.3	Steering wheel angle                                   2.0°
1743.5	Steering wheel angle                                   2.0°
1746.1	Vehicle yaw rate                                       -1.4°/s
1746.1	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
1746.1	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1753.4	Steering wheel angle                                   2.0°
1763.4	Steering wheel angle                                   2.0°
1766.3	Vehicle yaw rate                                       -1.23°/s
1766.3	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1766.3	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1766.9	Displayed vehicle speed                                74.5km/h
1773.5	Steering wheel angle                                   2.0°
1783.5	Steering wheel angle                                   2.0°
1786.1	Vehicle yaw rate                                       -1.4°/s
1786.1	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1786.1	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1793.6	Steering wheel angle                                   2.0°
1803.4	Steering wheel angle                                   2.0°
1806.0	Vehicle yaw rate                                       -1.23°/s
1806.0	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
1806.0	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1813.4	Steering wheel angle                                   2.0°
1823.5	Steering wheel angle                                   2.0°
1826.0	Vehicle yaw rate                                       -1.23°/s
